timestamp,point_id,offshore_distance_km,VV,VH,VH_VV_ratio,incidence_angle,year,month,day,day_of_year,latitude,longitude,ERA5_WindSpeed_100m_ms
2020-01-10 06:33:01,MH_0001,20,-19.337786327058343,-47.06304284919778,2.4337347643222715,39.83292388916016,2020,1,10,10,19.98542,72.53092,2.8247053623199463
2020-01-22 06:33:00,MH_0001,20,-20.329991468799875,-26.141068455082184,1.285837650015765,39.83514404296875,2020,1,22,22,19.98542,72.53092,6.6923112869262695
2020-02-27 06:32:59,MH_0001,20,-18.971363680388794,-29.21373757031114,1.5398860125437457,39.69879913330078,2020,2,27,58,19.98542,72.53092,2.357503890991211
2020-03-10 06:32:59,MH_0001,20,-21.32599539562271,-29.77882203091076,1.396362583714289,39.69011688232422,2020,3,10,70,19.98542,72.53092,4.240757465362549
2020-03-22 06:32:43,MH_0001,20,-22.20181328451083,-27.00981809934348,1.2165591050253075,39.67597579956055,2020,3,22,82,19.98542,72.53092,3.655914783477783
2020-04-03 06:32:47,MH_0001,20,-23.213988697618227,-29.36363977531257,1.2649114358501132,39.74948120117188,2020,4,3,94,19.98542,72.53092,4.1129069328308105
2020-04-27 06:32:48,MH_0001,20,-20.61610583116581,-28.99658329816665,1.4065014768371964,39.74741744995117,2020,4,27,118,19.98542,72.53092,4.571115016937256
2020-05-09 06:32:48,MH_0001,20,-24.98912933978004,-32.085454648883896,1.2839764928427202,39.75139236450195,2020,5,9,130,19.98542,72.53092,4.384859561920166
2020-05-21 06:32:49,MH_0001,20,-24.66655169154722,-27.542402655332864,1.1165890960255764,39.74597930908203,2020,5,21,142,19.98542,72.53092,5.4066643714904785
2020-06-02 06:32:50,MH_0001,20,-25.756140439974253,-28.90510983526781,1.1222609188139956,39.7515754699707,2020,6,2,154,19.98542,72.53092,4.873265266418457
2020-06-14 06:32:51,MH_0001,20,-26.60734429030986,-29.486414910001585,1.1082058618206498,39.74824523925781,2020,6,14,166,19.98542,72.53092,3.011090040206909
2020-06-26 06:32:51,MH_0001,20,-24.463328729560125,-28.22797770552173,1.1538894815819816,39.75066757202149,2020,6,26,178,19.98542,72.53092,4.516964435577393
2020-07-08 06:32:52,MH_0001,20,-21.28922449217544,-29.04826813732309,1.3644587264322092,39.75215148925781,2020,7,8,190,19.98542,72.53092,10.328592300415039
