timestamp,point_id,offshore_distance_km,VV,VH,VH_VV_ratio,incidence_angle,year,month,day,day_of_year
2020-01-01 06:10:38,TN_0001,20,-21.88718333877059,-46.506625812160536,2.1248337482411213,36.27376174926758,2020,1,1,1
2020-01-07 06:11:14,TN_0001,20,-16.391798937687355,-22.757398261268918,1.3883404956210168,36.27577209472656,2020,1,7,7
2020-01-13 06:10:37,TN_0001,20,-25.56649577726136,-28.483820063408267,1.1141073188740067,36.271732330322266,2020,1,13,13
2020-01-19 06:11:13,TN_0001,20,-27.592191795557284,-26.312643455391736,0.9536264335343025,36.27681350708008,2020,1,19,19
2020-01-31 06:11:13,TN_0001,20,-19.594361644480777,-31.844916571684607,1.625208166996065,36.23843765258789,2020,1,31,31
2020-02-12 06:11:13,TN_0001,20,-26.111621077407964,-29.333172216222152,1.1233761446393502,36.2356071472168,2020,2,12,43
2020-02-24 06:11:13,TN_0001,20,-26.882381461726318,-28.135422184774328,1.0466119686915396,36.23680877685547,2020,2,24,55
2020-03-07 06:11:13,TN_0001,20,-25.94201843608287,-26.40144829326495,1.0177098732048953,36.234615325927734,2020,3,7,67
2020-03-19 06:11:16,TN_0001,20,-22.972838851483402,-28.959817939266216,1.260611199446786,36.23824691772461,2020,3,19,79
2020-03-31 06:11:18,TN_0001,20,-18.428401970535283,-29.12588467123793,1.580488895228495,36.234920501708984,2020,3,31,91
2020-04-12 06:11:19,TN_0001,20,-23.361950578886898,-27.929525298068288,1.195513414162826,36.23480987548828,2020,4,12,103
2020-04-24 06:11:19,TN_0001,20,-24.974660843148865,-27.259907868672858,1.0915026249956419,36.2304573059082,2020,4,24,115
2020-05-18 06:11:21,TN_0001,20,-13.05326792709413,-26.511758993875443,2.031043807723128,36.23494338989258,2020,5,18,139
2020-05-30 06:11:21,TN_0001,20,-22.589059150745868,-29.385302141761787,1.3008643673763418,36.23766326904297,2020,5,30,151
2020-06-11 06:11:22,TN_0001,20,-17.22104562715526,-23.330992563967804,1.354795351519073,36.23611068725586,2020,6,11,163
2020-06-23 06:11:23,TN_0001,20,-15.78328883796013,-25.617665724797526,1.6230879373622622,36.23317337036133,2020,6,23,175
2020-07-05 06:11:23,TN_0001,20,-16.505027537604068,-24.137813727150906,1.462452193560826,36.23844528198242,2020,7,5,187
2020-07-17 06:11:24,TN_0001,20,-19.46726117454372,-25.981908731455366,1.334646332552958,36.23557662963867,2020,7,17,199
2020-07-29 06:11:25,TN_0001,20,-13.53878660696517,-27.278077261032795,2.014809602435074,36.228309631347656,2020,7,29,211
2020-08-10 06:11:26,TN_0001,20,-18.296248841953503,-26.677810753886128,1.4581027501502717,36.23344802856445,2020,8,10,223
2020-08-22 06:11:26,TN_0001,20,-20.87931326995195,-29.779024798831045,1.4262454140044414,36.23638916015625,2020,8,22,235
2020-09-03 06:11:27,TN_0001,20,-24.21292576104342,-25.9178007204007,1.0704117699852813,36.236000061035156,2020,9,3,247
2020-09-15 06:11:27,TN_0001,20,-10.87483197640431,-26.814678893321798,2.465755696410115,36.23258590698242,2020,9,15,259
2020-09-27 06:11:28,TN_0001,20,-28.011522294228005,-29.028137518563323,1.036292751734696,36.231353759765625,2020,9,27,271
2020-10-09 06:11:28,TN_0001,20,-13.874103984049855,-26.355684086543157,1.8996314368727922,36.22739028930664,2020,10,9,283
2020-10-21 06:11:28,TN_0001,20,-21.143733344551762,-31.224979647274665,1.476795944142977,36.233951568603516,2020,10,21,295
2020-11-02 06:11:28,TN_0001,20,-21.411552728558455,-25.143641324591535,1.1743025666258788,36.233116149902344,2020,11,2,307
2020-11-14 06:11:28,TN_0001,20,-28.85883654117363,-26.3231862135239,0.9121360861505261,36.234275817871094,2020,11,14,319
2020-11-26 06:11:27,TN_0001,20,-12.680128948554064,-27.64719287004481,2.180355813589535,36.241458892822266,2020,11,26,331
2020-12-08 06:11:27,TN_0001,20,-22.73626288430581,-30.19039773033021,1.327852245725474,36.23274612426758,2020,12,8,343
2020-12-14 06:10:31,TN_0001,20,-19.394324874758478,-26.930905686069288,1.388597224186937,36.19694519042969,2020,12,14,349
2020-12-20 06:11:26,TN_0001,20,-17.512105730537808,-28.096478380969522,1.604403194755418,36.230411529541016,2020,12,20,355
2021-01-01 06:11:26,TN_0001,20,-19.541819663796357,-23.635675088621202,1.209492027623672,36.23042678833008,2021,1,1,1
2021-01-13 06:11:25,TN_0001,20,-17.948151250244194,-29.87043543709197,1.6642625204468102,36.233150482177734,2021,1,13,13
2021-01-25 06:11:25,TN_0001,20,-20.43198934307368,-25.35308601966744,1.240852547148669,36.235374450683594,2021,1,25,25
2021-02-06 06:11:24,TN_0001,20,-26.699656764942272,-24.423233113137634,0.9147395911548318,36.23497009277344,2021,2,6,37
2021-02-18 06:11:24,TN_0001,20,-19.136449517842312,-25.95067165407833,1.356086019503389,36.237571716308594,2021,2,18,49
2021-03-02 06:11:24,TN_0001,20,-26.74647549901541,-27.682597667678593,1.0349998327330134,36.23524856567383,2021,3,2,61
2021-03-14 06:11:24,TN_0001,20,-29.26851499783718,-29.27526082412654,1.0002304806475444,36.23334503173828,2021,3,14,73
2021-03-26 06:11:24,TN_0001,20,-22.128846073968056,-26.34922305089752,1.190718348477024,36.23463439941406,2021,3,26,85
2021-04-07 06:11:25,TN_0001,20,-26.013400379215753,-27.495367005501976,1.0569693544358887,36.23591613769531,2021,4,7,97
2021-04-19 06:11:25,TN_0001,20,-21.35765954857567,-30.11285491509995,1.4099323405081696,36.236328125,2021,4,19,109
2021-05-01 06:11:25,TN_0001,20,-22.261224185839996,-23.80075921246213,1.0691576983264652,36.241477966308594,2021,5,1,121
2021-05-13 06:11:26,TN_0001,20,-17.0931978914603,-31.53631277952758,1.8449627143954737,36.23236083984375,2021,5,13,133
2021-05-25 06:11:27,TN_0001,20,-16.98263134191671,-23.697196424990686,1.3953783691047343,36.23133850097656,2021,5,25,145
2021-06-06 06:11:28,TN_0001,20,-25.2775590241443,-31.63413967657621,1.2514713009416896,36.233421325683594,2021,6,6,157
2021-06-18 06:11:28,TN_0001,20,-19.84853630453156,-31.518031298631183,1.5879272312606443,36.233062744140625,2021,6,18,169
2021-06-30 06:11:29,TN_0001,20,-25.763642690941456,-27.5196635974608,1.0681588751864177,36.23511505126953,2021,6,30,181
2021-07-12 06:11:30,TN_0001,20,-14.503094184000203,-26.72315923692098,1.8425833065610193,36.234580993652344,2021,7,12,193
2021-07-24 06:11:30,TN_0001,20,-11.749114694663454,-32.09888272694948,2.7320256513904884,36.23591613769531,2021,7,24,205
2021-08-05 06:11:31,TN_0001,20,-17.26203144309698,-27.398595011520143,1.587217304164785,36.23215103149414,2021,8,5,217
2021-08-17 06:11:32,TN_0001,20,-23.021686998334427,-24.519458532815914,1.065059156376761,36.23374557495117,2021,8,17,229
2021-08-29 06:11:32,TN_0001,20,-17.08984894726489,-25.74980356984861,1.5067309049545277,36.233455657958984,2021,8,29,241
2021-09-10 06:11:33,TN_0001,20,-19.078104475040337,-26.466784848814346,1.3872858744138095,36.23442840576172,2021,9,10,253
2021-09-22 06:11:33,TN_0001,20,-15.442151800386,-26.154843513754255,1.6937305015419208,36.23627471923828,2021,9,22,265
2021-10-04 06:11:34,TN_0001,20,-21.429872147773334,-26.73530116088663,1.247571659622083,36.2327995300293,2021,10,4,277
2021-10-16 06:11:34,TN_0001,20,-17.159147061821393,-29.054919281003222,1.6932612778667524,36.23305130004883,2021,10,16,289
2021-10-28 06:11:34,TN_0001,20,-19.83942172770474,-25.9731587060668,1.3091691412455138,36.23158645629883,2021,10,28,301
2021-11-09 06:11:33,TN_0001,20,-15.19164942750282,-27.32033999470042,1.7983787820458739,36.232669830322266,2021,11,9,313
2021-11-21 06:11:33,TN_0001,20,-17.16714676897371,-27.89397188287131,1.6248461237183722,36.228633880615234,2021,11,21,325
2021-12-03 06:11:33,TN_0001,20,-22.22123163112549,-27.718293468238894,1.2473788099762038,36.234161376953125,2021,12,3,337
2021-12-15 06:11:32,TN_0001,20,-23.39903122136085,-24.66709748992944,1.0541931098160584,36.23270034790039,2021,12,15,349
2021-12-27 06:11:32,TN_0001,20,-22.085781468160427,-26.147569229952474,1.183909623829596,36.23604965209961,2021,12,27,361
2022-01-08 06:11:31,TN_0001,20,-30.963649028625355,-27.832740554112863,0.8988843830512993,36.23202133178711,2022,1,8,8
2022-01-20 06:11:30,TN_0001,20,-27.898576715163394,-26.629985808737295,0.9545284722092438,36.237144470214844,2022,1,20,20
2022-02-01 06:11:30,TN_0001,20,-26.64436333739324,-27.780241239911998,1.0426310769049094,36.235816955566406,2022,2,1,32
2022-02-13 06:11:30,TN_0001,20,-28.378325200834578,-26.176020341770375,0.9223948262105532,36.23311996459961,2022,2,13,44
2022-02-25 06:11:30,TN_0001,20,-21.82729233937504,-29.46664012073914,1.3499906292812691,36.23234558105469,2022,2,25,56
2022-03-09 06:11:30,TN_0001,20,-26.965127760228906,-25.951578808658375,0.9624126033971394,36.23575973510742,2022,3,9,68
2022-03-21 06:11:30,TN_0001,20,-20.86768180406503,-31.86674902054936,1.5270862053465715,36.22919464111328,2022,3,21,80
2022-04-02 06:11:30,TN_0001,20,-27.00214037456394,-30.01423814460988,1.1115503337240384,36.22838592529297,2022,4,2,92
2022-04-26 06:11:31,TN_0001,20,-20.617417682763417,-29.22142517294786,1.4173174168837628,36.230079650878906,2022,4,26,116
2022-05-08 06:11:31,TN_0001,20,-14.902458593891883,-28.940340603035338,1.9419842988120903,36.240901947021484,2022,5,8,128
2022-05-20 06:11:32,TN_0001,20,-21.365650011400618,-25.998813059666436,1.2168510223556777,36.241600036621094,2022,5,20,140
