timestamp,point_id,offshore_distance_km,VV,VH,VH_VV_ratio,incidence_angle,year,month,day,day_of_year,latitude,longitude,ERA5_WindSpeed_100m_ms
2020-01-06 06:17:57,KL_0001,20,-18.742791597789846,-39.707502000974685,2.118547911809306,38.86347579956055,2020,1,6,6,11.8606,75.17359,1.3983478546142578
2020-01-12 06:18:44,KL_0001,20,-19.103155749916528,-45.50749678125357,2.3821978618089013,38.86561965942383,2020,1,12,12,11.8606,75.17359,2.4117865562438965
2020-01-18 06:17:57,KL_0001,20,-21.747284300566665,-28.86791455457378,1.3274261813840167,38.864356994628906,2020,1,18,18,11.8606,75.17359,2.1374101638793945
2020-01-24 06:18:43,KL_0001,20,-21.065610792498696,-32.06592575286988,1.522193022017112,38.86688995361328,2020,1,24,24,11.8606,75.17359,2.0319292545318604
2020-03-12 06:18:33,KL_0001,20,-18.7070833111494,-28.303018720468337,1.512957324758359,38.830055236816406,2020,3,12,72,11.8606,75.17359,3.078376054763794
2020-03-24 06:18:36,KL_0001,20,-19.749814149512652,-26.877533105515667,1.3609005584581106,38.76493453979492,2020,3,24,84,11.8606,75.17359,3.1922788619995117
2020-04-05 06:18:36,KL_0001,20,-26.40761434815481,-29.112361548309348,1.1024230043840946,38.768192291259766,2020,4,5,96,11.8606,75.17359,2.697800874710083
2020-04-17 06:18:36,KL_0001,20,-22.80963338204518,-29.0423590965802,1.2732497103369125,38.76826858520508,2020,4,17,108,11.8606,75.17359,2.185389995574951
2020-04-29 06:18:37,KL_0001,20,-16.14242257372903,-28.86769367379511,1.788312351627804,38.76946640014648,2020,4,29,120,11.8606,75.17359,0.4571293294429779
2020-05-11 06:18:37,KL_0001,20,-27.09062301620438,-30.22708878104174,1.1157768045039522,38.77295684814453,2020,5,11,132,11.8606,75.17359,2.701047658920288
2020-05-23 06:18:38,KL_0001,20,-22.362658049626752,-27.830621883929464,1.2445131442858142,38.76799774169922,2020,5,23,144,11.8606,75.17359,4.942412853240967
2020-06-04 06:18:39,KL_0001,20,-13.197309069527556,-27.429683467507356,2.078430028651992,38.77316665649414,2020,6,4,156,11.8606,75.17359,4.372976779937744
2020-06-16 06:18:40,KL_0001,20,-17.3566502784993,-32.48288594650067,1.8714950998776032,38.767860412597656,2020,6,16,168,11.8606,75.17359,1.9000813961029053
2020-06-28 06:18:40,KL_0001,20,-22.34746124871268,-28.782239683510557,1.287942257206892,38.771968841552734,2020,6,28,180,11.8606,75.17359,2.996176242828369
2020-07-10 06:18:41,KL_0001,20,-20.660598708058306,-32.26379191127194,1.561609727151228,38.773468017578125,2020,7,10,192,11.8606,75.17359,1.6301759481430054
2020-07-22 06:18:42,KL_0001,20,-30.241667010670344,-30.45381224705428,1.0070149980921714,38.76827621459961,2020,7,22,204,11.8606,75.17359,3.3453855514526367
2020-08-03 06:18:42,KL_0001,20,-24.11483313790032,-29.05626082249464,1.2049123730749798,38.76667785644531,2020,8,3,216,11.8606,75.17359,8.883857727050781
2020-08-15 06:18:43,KL_0001,20,-19.535162285596456,-30.272105371775645,1.549621391888599,38.76792526245117,2020,8,15,228,11.8606,75.17359,3.1717188358306885
2020-08-27 06:18:44,KL_0001,20,-29.430449227699327,-28.17758797597109,0.9574297611961332,38.7647705078125,2020,8,27,240,11.8606,75.17359,4.483866214752197
2020-09-08 06:18:44,KL_0001,20,-21.84304856034987,-28.85813838990294,1.3211589174547302,38.76605987548828,2020,9,8,252,11.8606,75.17359,3.2228808403015137
2020-09-20 06:18:45,KL_0001,20,-22.882358425707807,-28.69692249300354,1.2541068520613332,38.76763916015625,2020,9,20,264,11.8606,75.17359,9.021087646484375
