longitude,latitude
72.72203067414007,19.99999999823627
72.72203067414007,19.999139792425535
,
72.72203067414007,19.999139792425535
72.72288509533358,19.99830623579476
,
72.72288509533358,19.99830623579476
72.7229156715262,19.99749950012889
,
72.7229156715262,19.99749950012889
72.7237243608566,19.996639228722955
,
72.7237243608566,19.996639228722955
72.7229461575198,19.99577713204782
,
72.7229461575198,19.99577713204782
72.7237243608566,19.994972217611974
,
72.7237243608566,19.994972217611974
72.7236938749578,19.984945340662943
,
72.7236938749578,19.984945340662943
72.7229461575198,19.98333357234124
,
72.7229461575198,19.98333357234124
72.7187499691091,19.975027098073948
,
72.7187499691091,19.975027098073948
72.71871948260451,19.97249988454631
,
72.71871948260451,19.97249988454631
72.720802297633,19.97041706174695
,
72.720802297633,19.97041706174695
72.72244259697769,19.970417046669183
,
72.72244259697769,19.970417046669183
72.72416685694564,19.968721397877747
,
72.72416685694564,19.968721397877747
72.72580722442719,19.968749973809157
,
72.72580722442719,19.968749973809157
72.72869107747235,19.96580505841708
,
72.72869107747235,19.96580505841708
72.72958371767844,19.96327784919691
,
72.72958371767844,19.96327784919691
72.73083495991789,19.962110478254008
,
72.73083495991789,19.962110478254008
72.7341689897582,19.9620284858151
,
72.7341689897582,19.9620284858151
72.73580929156205,19.961194954119712
,
72.73580929156205,19.961194954119712
72.73830413141526,19.96375083645102
,
72.73830413141526,19.96375083645102
72.74500279086391,19.963722253777377
,
72.74500279086391,19.963722253777377
72.74500279086391,19.96291735965639
,
72.74500279086391,19.96291735965639
72.74330897796568,19.96208381718861
,
72.74330897796568,19.96208381718861
72.73913576921575,19.962083836212937
,
72.73913576921575,19.962083836212937
72.73708341089053,19.96080592287388
,
72.73708341089053,19.96080592287388
72.73625185643546,19.959138840798545
,
72.73625185643546,19.959138840798545
72.73708341089053,19.947444920724696
,
72.73708341089053,19.947444920724696
72.73913576921575,19.944555280666723
,
72.73913576921575,19.944555280666723
72.74083709616022,19.943695086944356
,
72.74083709616022,19.943695086944356
72.74411011565529,19.94375041876833
,
72.74411011565529,19.94375041876833
72.74624638003662,19.942499144781024
,
72.74624638003662,19.942499144781024
72.74627686318003,19.941638906824295
,
72.74627686318003,19.941638906824295
