longitude,latitude
68.32151204482453,23.93292699886032
68.32771815424555,23.933271944664856
,
68.32771815424555,23.933271944664856
68.32944421679153,23.93498627294994
,
68.32944421679153,23.93498627294994
68.3291281707544,23.93507652125698
,
68.3291281707544,23.93507652125698
68.32464948773644,23.940381919098265
,
68.32464948773644,23.940381919098265
68.32023194059597,23.941118933845743
,
68.32023194059597,23.941118933845743
68.31651908385555,23.940054645385775
,
68.31651908385555,23.940054645385775
68.31497569941163,23.93648900044546
,
68.31497569941163,23.93648900044546
68.31491301790054,23.9339998404328
,
68.31491301790054,23.9339998404328
68.32151204482453,23.93292699886032
,
68.16558438367704,23.73186092668276
68.16786198339211,23.73413848727869
,
68.16786198339211,23.73413848727869
68.16791538454738,23.735860821394784
,
68.16791538454738,23.735860821394784
68.1703873036807,23.73999977838549
,
68.1703873036807,23.73999977838549
68.17205811496139,23.74255559549022
,
68.17205811496139,23.74255559549022
68.17202754800752,23.744138701352416
,
68.17202754800752,23.744138701352416
68.17375185197373,23.747554802243474
,
68.17375185197373,23.747554802243474
68.17788694503342,23.753360710033785
,
68.17788694503342,23.753360710033785
68.18041991164279,23.75836177641175
,
68.18041991164279,23.75836177641175
68.18702693599403,23.766721731783303
,
68.18702693599403,23.766721731783303
68.192916915298,23.77419473112416
,
68.192916915298,23.77419473112416
68.1945571660213,23.780000650534834
,
68.1945571660213,23.780000650534834
68.19541932127729,23.78086089563516
,
68.19541932127729,23.78086089563516
68.19541932127729,23.790526278600357
,
68.19541932127729,23.790526278600357
68.19483836489972,23.787609153302157
,
68.19483836489972,23.787609153302157
68.19363351285621,23.7868365891954
,
68.19363351285621,23.7868365891954
68.16837998371813,23.77064204783425
,
68.16837998371813,23.77064204783425
68.16438372258034,23.76314902738604
,
68.16438372258034,23.76314902738604
68.16238550216852,23.745682351001093
,
68.16238550216852,23.745682351001093
68.16390138403496,23.736191098328245
,
68.16390138403496,23.736191098328245
68.16558438367704,23.73186092668276
,
71.0010200210294,24.49901000941519
71.00088996914533,24.49319001809608
,
71.00088996914533,24.49319001809608
70.99993997246423,24.486080033130836
,
70.99993997246423,24.486080033130836
70.99791998668776,24.47706998575092
,
70.99791998668776,24.47706998575092
70.99612001182152,24.474939978378924
,
70.99612001182152,24.474939978378924
70.99862004032855,24.47246000945573
,
70.99862004032855,24.47246000945573
70.99696000709912,24.46901000258763
,
70.99696000709912,24.46901000258763
70.99635000853624,24.465870042220363
,
70.99635000853624,24.465870042220363
70.99718002717802,24.46241996998151
,
70.99718002717802,24.46241996998151
70.99849996384457,24.444370024100298
,
70.99849996384457,24.444370024100298
71.00402000025035,24.44577998793619
,
71.00402000025035,24.44577998793619
71.00873001221447,24.444850025890084
,
71.00873001221447,24.444850025890084
71.01500997579612,24.442589957666584
,
71.01500997579612,24.442589957666584
71.03737999431442,24.432089977385996
,
71.03737999431442,24.432089977385996
71.03989999744962,24.433209993508427
,
71.03989999744962,24.433209993508427
71.0448100101063,24.434389988896896
,
71.0448100101063,24.434389988896896
71.0665100314362,24.436929966630835
,
71.0665100314362,24.436929966630835
71.0757999991734,24.437109989276617
,
71.0757999991734,24.437109989276617
71.10315000102266,24.435720016994868
,
71.10315000102266,24.435720016994868
71.12576995556633,24.42009000831465
,
71.12576995556633,24.42009000831465
71.12190003323433,24.405720013839435
,
71.12190003323433,24.405720013839435
71.11964999582695,24.402450011056214
,
71.11964999582695,24.402450011056214
71.11188995813104,24.398109996928767
,
71.11188995813104,24.398109996928767
71.1067899879594,24.396420022642406
,
71.1067899879594,24.396420022642406
