point_id,longitude,latitude,offshore_distance_km,coastal_lon,coastal_lat
GJ_0110,69.66682,21.33028,20,69.81095,21.45056
GJ_0111,69.68281,21.2796,20,69.84047,21.38406
GJ_0112,69.78748,21.16113,20,69.93095,21.28193
GJ_0113,69.88561,21.05526,20,70.02373,21.18128
GJ_0114,70.07721,20.88066,20,70.19742,21.02164
GJ_0115,70.19265,20.7954,20,70.29871,20.94591
GJ_0116,70.29506,20.73734,20,70.39702,20.89028
GJ_0117,70.37278,20.68387,20,70.46723,20.84094
GJ_0118,70.51708,20.61611,20,70.58459,20.78487
GJ_0119,70.59139,20.60045,20,70.66374,20.76745
GJ_0120,70.67429,20.55275,20,70.73703,20.72311
GJ_0121,70.81594,20.52712,20,70.84391,20.70539
GJ_0122,70.94114,20.51855,20,70.91473,20.69703
GJ_0123,72.13629,21.29236,60,72.20082,21.82957
GJ_0124,72.11478,21.11329,80,72.20082,21.82957
GJ_0125,72.41388,22.04687,20,72.42706,22.22664
GJ_0126,72.4007,21.8671,40,72.42706,22.22664
GJ_0127,72.38752,21.68733,60,72.42706,22.22664
GJ_0128,72.37434,21.50757,80,72.42706,22.22664
GJ_0129,72.54249,21.93871,40,72.57873,22.2975
GJ_0130,72.52436,21.75931,60,72.57873,22.2975
GJ_0131,72.50624,21.57991,80,72.57873,22.2975
GJ_0132,72.6485,21.89454,40,72.6972,22.25207
GJ_0133,72.59979,21.53701,80,72.6972,22.25207
GJ_0134,72.34247,22.1241,20,72.52871,22.07237
GJ_0135,72.32063,22.0248,20,72.5129,21.99867
GJ_0136,72.34358,21.86549,20,72.51164,21.95587
GJ_0137,72.52166,22.0805,20,72.64905,21.94447
GJ_0138,72.42103,21.92955,20,72.59464,21.84895
GJ_0139,72.37926,21.83201,20,72.55978,21.76599
GJ_0140,72.19874,21.89804,40,72.55978,21.76599
GJ_0141,72.39342,21.54969,20,72.5279,21.67949
GJ_0142,72.25895,21.41989,40,72.5279,21.67949
GJ_0143,72.12447,21.29008,60,72.5279,21.67949
GJ_0144,72.63759,21.5021,20,72.64693,21.68208
GJ_0145,72.61891,21.14216,60,72.64693,21.68208
GJ_0146,72.60956,20.96219,80,72.64693,21.68208
GJ_0147,72.48249,22.09154,60,72.82875,21.65723
GJ_0148,72.4778,21.82533,40,72.7594,21.57777
GJ_0149,72.33701,21.94912,60,72.7594,21.57777
GJ_0150,72.50744,21.58516,20,72.67457,21.49415
GJ_0151,72.34031,21.67616,40,72.67457,21.49415
GJ_0152,72.58799,21.31793,20,72.69516,21.468
GJ_0153,72.48082,21.16787,40,72.69516,21.468
GJ_0154,72.55884,21.42319,20,72.75122,21.44321
GJ_0155,72.36646,21.40316,40,72.75122,21.44321
GJ_0156,72.17408,21.38314,60,72.75122,21.44321
GJ_0157,72.56383,21.57205,20,72.69804,21.44221
GJ_0158,72.42962,21.7019,40,72.69804,21.44221
GJ_0159,72.29541,21.83174,60,72.69804,21.44221
GJ_0160,72.48743,21.43967,20,72.65648,21.35206
GJ_0161,72.31838,21.52728,40,72.65648,21.35206
GJ_0162,72.5146,21.47508,20,72.63998,21.33788
GJ_0163,72.38922,21.61229,40,72.63998,21.33788
GJ_0164,72.26383,21.74949,60,72.63998,21.33788
GJ_0165,72.41656,21.36264,20,72.59915,21.30326
GJ_0166,72.23397,21.42203,40,72.59915,21.30326
GJ_0167,72.47369,21.16645,20,72.62092,21.28326
GJ_0168,72.54361,21.08747,20,72.66102,21.2306
GJ_0169,72.57607,21.31661,20,72.726,21.20292
GJ_0170,72.42614,21.4303,40,72.726,21.20292
GJ_0171,72.2762,21.54399,60,72.726,21.20292
GJ_0172,72.52722,21.35002,20,72.63814,21.20248
GJ_0173,72.41629,21.49757,40,72.63814,21.20248
GJ_0174,72.30536,21.64511,60,72.63814,21.20248
GJ_0175,72.19443,21.79266,80,72.63814,21.20248
GJ_0176,72.45452,21.12474,20,72.64623,21.147
GJ_0177,72.26281,21.10247,40,72.64623,21.147
GJ_0178,72.0711,21.08021,60,72.64623,21.147
GJ_0179,71.87939,21.05794,80,72.64623,21.147
GJ_0180,72.67679,20.90078,20,72.65344,21.07964
GJ_0181,72.70015,20.72192,40,72.65344,21.07964
GJ_0182,72.7235,20.54306,60,72.65344,21.07964
GJ_0183,72.74685,20.36421,80,72.65344,21.07964
GJ_0184,72.58036,21.29863,20,72.69382,21.1528
GJ_0185,72.4669,21.44447,40,72.69382,21.1528
GJ_0186,72.23998,21.73614,80,72.69382,21.1528
GJ_0187,72.59091,21.13026,20,72.77916,21.17086
GJ_0188,72.2144,21.04907,60,72.77916,21.17086
GJ_0189,72.02615,21.00848,80,72.77916,21.17086
GJ_0190,72.52582,21.02952,20,72.7094,21.08542
GJ_0191,72.73405,20.92126,20,72.80605,21.08844
GJ_0192,72.66204,20.75407,40,72.80605,21.08844
GJ_0193,72.48465,21.20082,40,72.82878,21.03744
GJ_0194,72.31258,21.28251,60,72.82878,21.03744
GJ_0195,72.54989,21.54038,60,72.78457,21.0462
GJ_0196,72.47166,21.70511,80,72.78457,21.0462
GJ_0197,72.54546,20.96265,20,72.73513,20.99594
GJ_0198,72.72658,20.78282,20,72.80298,20.94827
GJ_0199,72.65671,21.00086,20,72.84178,20.94995
GJ_0200,72.47163,21.05178,40,72.84178,20.94995
GJ_0201,72.28656,21.10269,60,72.84178,20.94995
GJ_0202,72.10149,21.1536,80,72.84178,20.94995
GJ_0203,72.59668,20.90574,20,72.78952,20.9026
GJ_0204,72.66221,20.72327,20,72.83907,20.79488
GJ_0205,72.71904,20.63252,20,72.84882,20.76571
GJ_0206,72.7134,20.69397,20,72.89979,20.73957
GJ_0207,72.68088,20.67929,20,72.8733,20.67209
GJ_0208,72.7031,20.59145,20,72.8946,20.60977
GJ_0209,72.70516,20.55357,20,72.89039,20.50495
GJ_0210,72.672,20.50101,20,72.83919,20.41206
GJ_0211,72.63684,20.44157,20,72.80313,20.35125
GJ_0212,72.56796,20.3145,20,72.75092,20.2597
GJ_0213,72.56668,20.2308,20,72.75694,20.20659
GJ_0214,72.53744,20.11113,20,72.72707,20.08383
GJ_0215,72.53541,20.01652,20,72.72075,19.97047
GJ_0216,72.51123,20.01324,20,72.69422,19.95957
GJ_0217,72.49704,19.8778,20,72.68822,19.86624
GJ_0218,72.31334,21.76116,20,72.4,21.6
