longitude,latitude
80.2928924901055,13.500833527822234
80.29205322223402,13.505833603934988
,
80.29205322223402,13.505833603934988
80.28874972509033,13.512472191851451
,
80.28874972509033,13.512472191851451
80.28786466626491,13.513333288144041
,
80.28786466626491,13.513333288144041
80.28791806938527,13.51580522285922
,
80.28791806938527,13.51580522285922
80.28702543349789,13.516666384162827
,
80.28702543349789,13.516666384162827
80.28455352187397,13.525833096007
,
80.28455352187397,13.525833096007
80.28124998677193,13.53250026614812
,
80.28124998677193,13.53250026614812
80.28121945615155,13.53494457355716
,
80.28121945615155,13.53494457355716
80.27958677478,13.5391387541539
,
80.27958677478,13.5391387541539
80.27539062720116,13.54666707777809
,
80.27539062720116,13.54666707777809
80.27539062720116,13.548305473542044
,
80.27539062720116,13.548305473542044
80.27455901022572,13.549111328203972
,
80.27455901022572,13.549111328203972
80.27455901022572,13.552499806494211
,
80.27455901022572,13.552499806494211
80.26932213603268,13.56294955591335
,
80.26932213603268,13.56294955591335
80.26789089533746,13.565805450933247
,
80.26789089533746,13.565805450933247
80.26291653555354,13.576639196904548
,
80.26291653555354,13.576639196904548
80.26039126487065,13.579166400430404
,
80.26039126487065,13.579166400430404
80.25708006650726,13.585805934136092
,
80.25708006650726,13.585805934136092
80.25622555642965,13.59080600500903
,
80.25622555642965,13.59080600500903
80.2554168901811,13.591666258770076
,
80.2554168901811,13.591666258770076
80.2545852472493,13.596666369458651
,
80.2545852472493,13.596666369458651
80.25119785138769,13.603305860175764
,
80.25119785138769,13.603305860175764
80.24872591473951,13.607500039956284
,
80.24872591473951,13.607500039956284
80.24624633407653,13.609999631886796
,
80.24624633407653,13.609999631886796
80.24536134147611,13.61327742518825
,
80.24536134147611,13.61327742518825
80.24372099239339,13.614999741596193
,
80.24372099239339,13.614999741596193
80.24372099239339,13.616666820754812
,
80.24372099239339,13.616666820754812
80.24205780941726,13.618332903561306
,
80.24205780941726,13.618332903561306
80.24041748158922,13.62163925094043
,
80.24041748158922,13.62163925094043
80.24038693625575,13.629111325807603
,
80.24038693625575,13.629111325807603
80.23955540127193,13.6299724332836
,
80.23955540127193,13.6299724332836
80.23955540127193,13.631638553820547
,
80.23955540127193,13.631638553820547
80.23872377306013,13.632499664843976
,
80.23872377306013,13.632499664843976
80.23872377306013,13.636638667208725
,
80.23872377306013,13.636638667208725
80.23705291938994,13.639944070702384
,
80.23705291938994,13.639944070702384
80.23705291938994,13.64333341311089
,
80.23705291938994,13.64333341311089
80.23622135176537,13.644139295355783
,
80.23622135176537,13.644139295355783
80.23625181350826,13.651666605759381
,
80.23625181350826,13.651666605759381
80.23535922885951,13.652472468241422
,
80.23535922885951,13.652472468241422
80.2354202380421,13.6566667914163
,
80.2354202380421,13.6566667914163
80.23371885675726,13.659972156540446
,
80.23371885675726,13.659972156540446
80.23374940448853,13.667499557982381
,
80.23374940448853,13.667499557982381
80.23455810700709,13.668305373987465
,
80.23455810700709,13.668305373987465
80.23455810700709,13.673305477538443
,
80.23455810700709,13.673305477538443
80.23371885675726,13.674166715679172
,
80.23371885675726,13.674166715679172
80.23371885675726,13.677499803347692
,
80.23371885675726,13.677499803347692
80.2345809963077,13.678305630000372
,
80.2345809963077,13.678305630000372
80.2345809963077,13.699999814522041
,
80.2345809963077,13.699999814522041
80.23538969091152,13.70080562973916
,
80.23538969091152,13.70080562973916
80.23625181350826,13.7091388872229
,
80.23625181350826,13.7091388872229
80.23705291938994,13.710000035041777
,
80.23705291938994,13.710000035041777
80.23705291938994,13.71333310207639
,
80.23705291938994,13.71333310207639
80.2378921367054,13.714139007498552
,
80.2378921367054,13.714139007498552
80.23791502510774,13.722472147497339
,
80.23791502510774,13.722472147497339
80.23872377306013,13.723333359404986
,
80.23872377306013,13.723333359404986
80.23872377306013,13.727444664276739
,
80.23872377306013,13.727444664276739
80.23952485562837,13.728305787952548
,
80.23952485562837,13.728305787952548
80.24038693625575,13.736638991747672
,
80.24038693625575,13.736638991747672
80.2420806966969,13.73997207577949
,
80.2420806966969,13.73997207577949
80.2420806966969,13.743305244482034
,
80.2420806966969,13.743305244482034
80.2426502391334,13.744762542816053
,
80.2426502391334,13.744762542816053
80.24369810555594,13.747444181214318
,
80.24369810555594,13.747444181214318
80.24369810555594,13.749972340803124
,
80.24369810555594,13.749972340803124
80.24958041530257,13.76244450941545
,
80.24958041530257,13.76244450941545
80.25041959385945,13.763305678129463
,
80.25041959385945,13.763305678129463
80.25038913719973,13.766638730310213
,
80.25038913719973,13.766638730310213
80.25208278311584,13.769971821562686
,
80.25208278311584,13.769971821562686
80.25208278311584,13.771638901526359
,
80.25208278311584,13.771638901526359
80.2554168901811,13.77586077742767
,
80.2554168901811,13.77586077742767
80.25711060583197,13.781639075401252
,
80.25711060583197,13.781639075401252
80.2545852472493,13.785833315384078
,
80.2545852472493,13.785833315384078
80.25455470701502,13.789166439619402
,
80.25455470701502,13.789166439619402
80.25125119256374,13.795805971363068
,
80.25125119256374,13.795805971363068
80.25122073620258,13.799139060300867
,
80.25122073620258,13.799139060300867
80.24958041530257,13.802472140543856
,
80.24958041530257,13.802472140543856
80.24958041530257,13.805000339061785
,
80.24958041530257,13.805000339061785
80.24497218683877,13.812055625633057
,
80.24497218683877,13.812055625633057
80.24333191531754,13.812027925827241
,
80.24333191531754,13.812027925827241
80.24080657202049,13.810416197228328
,
80.24080657202049,13.810416197228328
80.23664092302292,13.811277359985917
,
80.23664092302292,13.811277359985917
80.23497011347463,13.812861451099364
,
80.23497011347463,13.812861451099364
80.23249812979604,13.813722601359313
,
80.23249812979604,13.813722601359313
80.22750093106562,13.817916878168864
,
80.22750093106562,13.817916878168864
80.22497562782466,13.818694146431117
,
80.22497562782466,13.818694146431117
80.22455599898261,13.820027322026545
,
80.22455599898261,13.820027322026545
80.22577666979257,13.820416475927741
,
80.22577666979257,13.820416475927741
80.22750093106562,13.818694144229612
,
80.22750093106562,13.818694144229612
80.23002624440242,13.817916844551055
,
80.23002624440242,13.817916844551055
80.23249812979604,13.815388668722546
,
80.23249812979604,13.815388668722546
80.23413852546369,13.815388659151484
,
80.23413852546369,13.815388659151484
80.23833467308644,13.812889100674013
,
80.23833467308644,13.812889100674013
80.24166872471942,13.812889081884874
,
80.24166872471942,13.812889081884874
80.24372099239339,13.814167057710993
,
80.24372099239339,13.814167057710993
80.24288940497806,13.815833065470896
,
80.24288940497806,13.815833065470896
80.24288940497806,13.819167104445574
,
80.24288940497806,13.819167104445574
80.24121854818097,13.82247259960179
,
80.24121854818097,13.82247259960179
80.24121854818097,13.824944468683885
,
80.24121854818097,13.824944468683885
80.23958586181917,13.827472665578037
,
80.23958586181917,13.827472665578037
80.23791502510774,13.830805742626152
,
80.23791502510774,13.830805742626152
80.23708346592247,13.834972421461881
,
80.23708346592247,13.834972421461881
80.23371885675726,13.840833687064066
,
80.23371885675726,13.840833687064066
80.23294069427352,13.845027924885091
,
80.23294069427352,13.845027924885091
80.23205564810675,13.84583379700379
,
80.23205564810675,13.84583379700379
80.23202518485952,13.847472198203757
,
80.23202518485952,13.847472198203757
80.22872164469828,13.85413931549259
,
80.22872164469828,13.85413931549259
80.22708131468455,13.856666523749038
,
80.22708131468455,13.856666523749038
80.22708131468454,13.858333631674421
,
80.22708131468454,13.858333631674421
80.22536470386287,13.859972043639672
,
80.22536470386287,13.859972043639672
80.22541806126476,13.860833200766084
,
80.22541806126476,13.860833200766084
80.22372439419512,13.862500171452332
,
80.22372439419512,13.862500171452332
80.22369384286152,13.864166289197332
,
80.22369384286152,13.864166289197332
80.22205350097158,13.865833307886197
,
80.22205350097158,13.865833307886197
80.22211460480605,13.86750033672949
,
80.22211460480605,13.86750033672949
80.21791842253126,13.87580585029156
,
80.21791842253126,13.87580585029156
80.2170562842558,13.880000076832387
,
80.2170562842558,13.880000076832387
80.21624758550944,13.880806000973081
,
80.21624758550944,13.880806000973081
80.21622469127396,13.88330552581194
,
80.21622469127396,13.88330552581194
80.21541598462693,13.88497253697825
,
80.21541598462693,13.88497253697825
80.21038816256352,13.8933334396493
,
80.21038816256352,13.8933334396493
80.20788575869113,13.898333548996654
,
80.20788575869113,13.898333548996654
80.20625302821136,13.89999959347025
,
80.20625302821136,13.89999959347025
80.20625302821136,13.901666633582305
,
80.20625302821136,13.901666633582305
80.20458221766555,13.903306047743804
,
80.20458221766555,13.903306047743804
80.20369721701606,13.906639126147438
,
80.20369721701606,13.906639126147438
80.20122526116391,13.911639240656331
,
80.20122526116391,13.911639240656331
80.19955443718051,13.913277631002035
,
80.19955443718051,13.913277631002035
80.19789124188512,13.920000116617743
,
80.19789124188512,13.920000116617743
80.19622043769816,13.922471996277313
,
80.19622043769816,13.922471996277313
80.19622043769816,13.924139012654456
,
80.19622043769816,13.924139012654456
80.19374843533959,13.928305661617673
,
80.19374843533959,13.928305661617673
80.19374843533959,13.929972652848498
,
80.19374843533959,13.929972652848498
80.19208529708757,13.933305746662793
,
80.19208529708757,13.933305746662793
80.18958286674865,13.939138398255693
,
80.18958286674865,13.939138398255693
80.18958286674865,13.94166663257845
,
80.18958286674865,13.94166663257845
80.18708036303222,13.946666725444652
,
80.18708036303222,13.946666725444652
80.18708036303222,13.948333741917113
,
80.18708036303222,13.948333741917113
80.18538670003919,13.950778009169644
,
80.18538670003919,13.950778009169644
80.18369291830726,13.957500473524826
,
80.18369291830726,13.957500473524826
80.18205257267999,13.959972364524905
,
80.18205257267999,13.959972364524905
80.18038937683298,13.964138970972442
,
80.18038937683298,13.964138970972442
80.17708587788965,13.968333221801888
,
80.17708587788965,13.968333221801888
80.17708587788965,13.97000029039826
,
80.17708587788965,13.97000029039826
80.17536161834563,13.971666304077242
,
80.17536161834563,13.971666304077242
80.17541500705195,13.973333385203045
,
80.17541500705195,13.973333385203045
80.17288969324031,13.976638750653425
,
80.17288969324031,13.976638750653425
80.17205809533925,13.979971868565455
,
80.17205809533925,13.979971868565455
80.17121891067838,13.980833084512499
,
80.17121891067838,13.980833084512499
80.17121891067838,13.983305969306643
,
80.17121891067838,13.983305969306643
80.16872404395566,13.986611363581817
,
80.16872404395566,13.986611363581817
80.1679153127474,13.988333717377323
,
80.1679153127474,13.988333717377323
80.1678924906965,13.991666752738542
,
80.1678924906965,13.991666752738542
80.16705326515478,13.992472673813522
,
80.16705326515478,13.992472673813522
80.16705326515478,13.994999929279292
,
80.16705326515478,13.994999929279292
80.16541294078256,13.997444131407635
,
80.16541294078256,13.997444131407635
80.16539003290457,14.000000037034464
,
80.16539003290457,14.000000037034464
80.16124726799333,14.009166737586018
,
80.16124726799333,14.009166737586018
80.15953060945554,14.010833725211336
,
80.15953060945554,14.010833725211336
80.15875245111604,14.01327799960567
,
