time,latitude,longitude,wind_speed,pass,wind_speed_100m,sar_timestamp,sar_lat,sar_lon,era5_wind_100m,VV,VH,incidence_angle,point_id,spatial_dist_deg
2020-01-01,23.375,67.875,13.08,ascending,16.850304136146192,2020-01-01 06:56:22,23.46522,68.05448,9.755573272705078,-13.67780742260112,-44.89412039839714,33.485557556152344,GJ_0001,0.20087986160887075
2020-01-13,23.125,68.125,4.03,ascending,5.191645693323331,2020-01-13 06:56:21,23.46522,68.05448,3.825136423110962,-12.77713816566508,-48.04064487033274,33.48151397705078,GJ_0001,0.3474517503193779
2020-01-25,23.375,67.875,1.8,ascending,2.318849193047641,2020-01-25 06:56:21,23.46522,68.05448,3.4405176639556885,-32.25047564073572,-29.56444394606505,33.481239318847656,GJ_0001,0.20087986160887075
2020-02-06,23.375,67.875,4.63,ascending,5.96459542433921,2020-02-06 06:56:20,23.46522,68.05448,2.50431489944458,-15.998686452542303,-27.897862185186423,33.47555923461914,GJ_0001,0.20087986160887075
2020-02-18,23.125,68.125,0.72,ascending,0.9275396772190564,2020-02-18 06:56:20,23.46522,68.05448,4.59345293045044,-19.5547916423974,-25.899085393240068,33.479774475097656,GJ_0001,0.3474517503193779
2020-03-13,23.375,67.875,4.32,ascending,5.56523806331434,2020-03-13 06:56:20,23.46522,68.05448,5.923795223236084,-16.429962426395086,-32.36774380401661,33.47456359863281,GJ_0001,0.20087986160887075
2020-03-25,23.375,67.875,5.24,ascending,6.750427650872022,2020-03-25 06:56:20,23.46522,68.05448,2.982524871826172,-15.648438188791395,-29.41450697984631,33.474029541015625,GJ_0001,0.20087986160887075
2020-04-06,23.375,67.875,4.1,ascending,5.281823161941849,2020-04-06 06:56:21,23.46522,68.05448,4.882762908935547,-13.901995321522936,-25.872071045223755,33.474632263183594,GJ_0001,0.20087986160887075
2020-04-18,23.125,67.875,5.45,ascending,7.0209600567275805,2020-04-18 06:56:21,23.46522,68.05448,6.331301212310791,-15.581326291764448,-27.87076242004857,33.476749420166016,GJ_0001,0.3846592242492027
2020-04-30,23.125,67.875,5.59,ascending,7.201314993964619,2020-04-30 06:56:22,23.46522,68.05448,6.194948196411133,-17.536062124055153,-29.752210579778907,33.48073959350586,GJ_0001,0.3846592242492027
2020-07-11,23.125,68.125,6.390000000000001,descending,8.231914635319127,2020-07-11 06:56:26,23.46522,68.05448,9.686676025390623,-19.669152574979076,-28.038863576970247,33.48309326171875,GJ_0001,0.3474517503193779
2020-07-23,23.375,67.875,7.09,descending,9.13368932150432,2020-07-23 06:56:26,23.46522,68.05448,8.527616500854492,-10.801848777771388,-25.892597510155348,33.47500228881836,GJ_0001,0.20087986160887075
2020-08-04,23.125,67.875,7.58,descending,9.764931601833956,2020-08-04 06:56:27,23.46522,68.05448,8.170144081115723,-10.201400083031906,-27.62064550690817,33.47528839111328,GJ_0001,0.3846592242492027
2020-08-16,23.125,68.125,9.32,descending,12.006485821780007,2020-08-16 06:56:28,23.46522,68.05448,5.936312675476074,-19.07795858607201,-23.358506016799097,33.47838592529297,GJ_0001,0.3474517503193779
2020-08-28,23.375,67.875,6.45,descending,8.309209608420716,2020-08-28 06:56:29,23.46522,68.05448,6.536801338195801,-22.807803156506623,-27.16867738560844,33.475093841552734,GJ_0001,0.20087986160887075
2020-09-09,23.375,67.875,4.13,descending,5.320470648492644,2020-09-09 06:56:29,23.46522,68.05448,4.41864013671875,-17.782677787589044,-26.04566063046235,33.47568893432617,GJ_0001,0.20087986160887075
2020-09-21,23.375,67.875,3.16,descending,4.070868583350304,2020-09-21 06:56:29,23.46522,68.05448,4.043315887451172,-15.123102641101028,-29.743757645459624,33.47602081298828,GJ_0001,0.20087986160887075
2020-10-03,23.125,68.125,5.16,descending,6.647367686736572,2020-10-03 06:56:30,23.46522,68.05448,6.502719879150391,-16.766781830751377,-26.93556136341724,33.47581100463867,GJ_0001,0.3474517503193779
2020-10-15,23.375,67.875,7.44,descending,9.584576664596918,2020-10-15 06:56:30,23.46522,68.05448,5.889830589294434,-15.224047073505371,-23.71588444299375,33.47465896606445,GJ_0001,0.20087986160887075
2020-10-27,23.375,67.875,5.04,descending,6.492777740533396,2020-10-27 06:56:30,23.46522,68.05448,3.0984342098236084,-18.623159780516417,-30.594292471340346,33.477203369140625,GJ_0001,0.20087986160887075
2020-11-08,23.125,68.125,4.49,descending,5.784240487102172,2020-11-08 06:56:30,23.46522,68.05448,2.892658233642578,-14.192731155643834,-27.985534647207693,33.47516250610352,GJ_0001,0.3474517503193779
2020-11-20,23.375,67.875,6.9,ascending,8.888921906682626,2020-11-20 06:56:29,23.46522,68.05448,5.172386646270752,-26.595751568486985,-25.98512137600388,33.4747200012207,GJ_0001,0.20087986160887075
2020-12-02,23.375,68.125,5.62,descending,7.239962480515413,2020-12-02 06:56:29,23.46522,68.05448,4.675435543060303,-17.550723228662378,-26.576995984663757,33.475460052490234,GJ_0001,0.11451078027853982
2020-12-14,23.375,67.875,7.79,ascending,10.035464007689514,2020-12-14 06:56:29,23.46522,68.05448,6.410436153411865,-21.526540769694083,-26.95734188230094,33.47296905517578,GJ_0001,0.20087986160887075
2020-12-26,23.375,68.125,5.64,ascending,7.265727471549275,2020-12-26 06:56:28,23.46522,68.05448,5.462191581726074,-15.537938447266315,-26.505845004941705,33.47850799560547,GJ_0001,0.11451078027853982
2021-01-07,23.375,67.875,7.66,ascending,9.867991565969406,2021-01-07 06:56:27,23.46522,68.05448,6.507437705993652,-14.856778884652789,-24.694528586163926,33.48383331298828,GJ_0001,0.20087986160887075
2021-01-19,23.375,67.875,5.21,ascending,6.711780164321229,2021-01-19 06:56:27,23.46522,68.05448,5.894198417663574,-15.91229726174717,-31.21846853135593,33.4801139831543,GJ_0001,0.20087986160887075
2021-01-31,23.375,67.875,1.9,ascending,2.447674148216955,2021-01-31 06:56:27,23.46522,68.05448,0.9815728664398192,-27.48563387676853,-32.17588647981865,33.470462799072266,GJ_0001,0.20087986160887075
2021-02-12,23.125,68.125,2.9,ascending,3.7359236999100887,2021-02-12 06:56:26,23.46522,68.05448,2.9656107425689697,-21.00630152177064,-24.863552628171497,33.46942138671875,GJ_0001,0.3474517503193779
2021-02-24,23.125,68.125,5.25,ascending,6.763310146388954,2021-02-24 06:56:26,23.46522,68.05448,6.426132678985596,-17.775406835597835,-25.584638858241068,33.47799301147461,GJ_0001,0.3474517503193779
2021-03-08,23.125,68.125,4.57,ascending,5.887300451237623,2021-03-08 06:56:26,23.46522,68.05448,6.024663925170898,-15.215326696064624,-26.158476462005,33.482059478759766,GJ_0001,0.3474517503193779
2021-03-20,23.375,67.875,5.79,ascending,7.458964904303246,2021-03-20 06:56:26,23.46522,68.05448,4.5379509925842285,-12.691978932958564,-27.63410166586016,33.485443115234375,GJ_0001,0.20087986160887075
2021-04-01,23.375,67.875,4.13,ascending,5.320470648492644,2021-04-01 06:56:26,23.46522,68.05448,4.063489437103272,-13.561557932885046,-28.389539189092098,33.4838752746582,GJ_0001,0.20087986160887075
2021-04-13,23.375,67.875,4.5600000000000005,ascending,5.874417955720692,2021-04-13 06:56:27,23.46522,68.05448,6.064695835113525,-14.105613163811451,-26.49835399654691,33.47671127319336,GJ_0001,0.20087986160887075
2021-06-24,23.125,68.125,8.26,descending,10.640941296985288,2021-06-24 06:56:30,23.46522,68.05448,10.095429420471191,-10.282451842305,-27.46072924445975,33.478790283203125,GJ_0001,0.3474517503193779
2021-07-06,23.375,67.875,6.13,descending,7.896969751878911,2021-07-06 06:56:31,23.46522,68.05448,7.542112350463867,-16.584406524712428,-25.72506125217005,33.47794342041016,GJ_0001,0.20087986160887075
2021-07-18,23.375,68.125,9.61,descending,12.380078191771018,2021-07-18 06:56:32,23.46522,68.05448,12.218297958374023,-9.096849721519147,-24.100746981598533,33.47844314575195,GJ_0001,0.11451078027853982
2021-07-30,23.375,67.875,11.6,descending,14.943694799640356,2021-07-30 06:56:33,23.46522,68.05448,14.99194622039795,-11.358840492712453,-29.39373597288345,33.482688903808594,GJ_0001,0.20087986160887075
2021-08-23,23.375,67.875,3.3000000000000003,descending,4.251223520587343,2021-08-23 06:56:34,23.46522,68.05448,4.923310279846191,-15.085394515977274,-24.80823118212392,33.47553634643555,GJ_0001,0.20087986160887075
