longitude,latitude
74.08122256855287,14.89916702940829
74.08750152614414,14.89458370139013
,
74.08750152614414,14.89458370139013
74.08914183429329,14.894611347605
,
74.08914183429329,14.894611347605
74.09244535112204,14.896222140883115
,
74.09244535112204,14.896222140883115
74.09705350791232,14.891638743403936
,
74.09705350791232,14.891638743403936
74.09791565393031,14.887444506524771
,
74.09791565393031,14.887444506524771
74.09874723572692,14.886666278710686
,
74.09874723572692,14.886666278710686
74.09869382245766,14.88166717132756
,
74.09869382245766,14.88166717132756
74.09794612471522,14.880861296519518
,
74.09794612471522,14.880861296519518
74.09788509352052,14.877471883260098
,
74.09788509352052,14.877471883260098
74.10369112373361,14.872500452369408
,
74.10369112373361,14.872500452369408
74.10544582050375,14.868305197352482
,
74.10544582050375,14.868305197352482
74.10871885075765,14.859944381195241
,
74.10871885075765,14.859944381195241
74.10871885075765,14.85494421845663
,
74.10871885075765,14.85494421845663
74.10955809158261,14.8541392962341
,
74.10955809158261,14.8541392962341
74.10955809158261,14.851611153317641
,
74.10955809158261,14.851611153317641
74.11038971146417,14.850832916901387
,
74.11038971146417,14.850832916901387
74.11125179628738,14.845833743179629
,
74.11125179628738,14.845833743179629
74.11538697033426,14.841666184026083
,
74.11538697033426,14.841666184026083
74.11538697033426,14.840806002926055
,
74.11538697033426,14.840806002926055
74.118309003445,14.83874992519046
,
74.118309003445,14.83874992519046
74.12413787890806,14.83877757054789
,
74.12413787890806,14.83877757054789
74.12702939904868,14.839972526324436
,
74.12702939904868,14.839972526324436
74.12708280425007,14.840833649067827
,
74.12708280425007,14.840833649067827
74.12577822551427,14.842055286006461
,
74.12577822551427,14.842055286006461
74.11916352463633,14.845417065120452
,
74.11916352463633,14.845417065120452
74.1179199154286,14.84666634456689
,
74.1179199154286,14.84666634456689
74.118309003445,14.847916607514447
,
74.118309003445,14.847916607514447
74.11914058452102,14.847861307482185
,
74.11914058452102,14.847861307482185
74.12163539521119,14.845416992313869
,
74.12163539521119,14.845416992313869
74.12830350321158,14.842055317162952
,
74.12830350321158,14.842055317162952
74.13249967912766,14.842055303862544
,
74.13249967912766,14.842055303862544
74.13416289067366,14.84375000617936
,
74.13416289067366,14.84375000617936
74.1374740371712,14.843694711902323
,
74.1374740371712,14.843694711902323
74.13916775811049,14.844555845252058
,
74.13916775811049,14.844555845252058
74.14328000522852,14.84958358386262
,
74.14328000522852,14.84958358386262
74.1466369530766,14.851249686384563
,
74.1466369530766,14.851249686384563
74.15244290465792,14.856277450838009
,
74.15244290465792,14.856277450838009
74.1566390752532,14.856222190873256
,
74.1566390752532,14.856222190873256
74.16000366628626,14.85788919965281
,
74.16000366628626,14.85788919965281
74.16205598765545,14.859971959601204
,
74.16205598765545,14.859971959601204
74.16471865003999,14.858555762613845
,
74.16471865003999,14.858555762613845
74.16669468083323,14.855166468077655
,
74.16669468083323,14.855166468077655
74.16747283181647,14.849611239445077
,
74.16747283181647,14.849611239445077
74.16500094144,14.848722484265485
,
74.16500094144,14.848722484265485
74.16330718660767,14.847055420939412
,
74.16330718660767,14.847055420939412
74.16000366628626,14.846249549411437
,
74.16000366628626,14.846249549411437
74.1586914337467,14.844111482625362
,
74.1586914337467,14.844111482625362
74.1586914337467,14.842499713956427
,
74.1586914337467,14.842499713956427
74.16083524082264,14.84038921231236
,
74.16083524082264,14.84038921231236
74.16249846832758,14.840389266579622
,
74.16249846832758,14.840389266579622
74.16413883595591,14.842861213145259
,
74.16413883595591,14.842861213145259
74.1645583771374,14.840806019952007
,
74.1645583771374,14.840806019952007
74.1658020338995,14.839555736229176
,
74.1658020338995,14.839555736229176
74.16664119739127,14.839555710291085
,
74.16664119739127,14.839555710291085
74.1682815284453,14.841221822482902
,
74.1682815284453,14.841221822482902
74.16997523792197,14.841221799980877
,
74.16997523792197,14.841221799980877
74.17121885841038,14.839972490210627
,
74.17121885841038,14.839972490210627
74.17124940682784,14.83744431779257
,
74.17124940682784,14.83744431779257
74.16952516027925,14.834166518978808
,
74.16952516027925,14.834166518978808
74.16955561938981,14.829972304558762
,
74.16955561938981,14.829972304558762
74.17038724076289,14.829166375487867
,
74.17038724076289,14.829166375487867
74.16997523792197,14.827917133346519
,
74.16997523792197,14.827917133346519
74.16830446251792,14.830361340718722
,
74.16830446251792,14.830361340718722
74.16666413166642,14.830361362607558
,
74.16666413166642,14.830361362607558
74.16541286572833,14.829166444740501
,
74.16541286572833,14.829166444740501
74.16535947150498,14.827500318548152
,
74.16535947150498,14.827500318548152
74.16708375673235,14.82583335009757
,
74.16708375673235,14.82583335009757
74.16794584855063,14.823305097633789
,
74.16794584855063,14.823305097633789
74.16744228277764,14.822917003270966
,
74.16744228277764,14.822917003270966
74.1658020338995,14.8253612698566
,
74.1658020338995,14.8253612698566
74.1645583771374,14.824972144763196
,
74.1645583771374,14.824972144763196
74.16539002088633,14.821639038175046
,
74.16539002088633,14.821639038175046
74.16163635123637,14.817083333036447
,
74.16163635123637,14.817083333036447
74.16122432898877,14.818305927657702
,
74.16122432898877,14.818305927657702
74.16286470786054,14.820833195330644
,
74.16286470786054,14.820833195330644
74.16291810280066,14.82250026741378
,
74.16291810280066,14.82250026741378
74.16208644799057,14.823277433938603
,
74.16208644799057,14.823277433938603
74.16208644799057,14.827472699440646
,
74.16208644799057,14.827472699440646
74.16541286572833,14.832500421184537
,
74.16541286572833,14.832500421184537
74.16541286572833,14.835805864145431
,
74.16541286572833,14.835805864145431
74.1641692959497,14.83708284285406
,
74.1641692959497,14.83708284285406
74.16169736162854,14.837055247486731
,
74.16169736162854,14.837055247486731
74.15666962606726,14.83958336115958
,
74.15666962606726,14.83958336115958
74.1516418442609,14.839555719901519
,
74.1516418442609,14.839555719901519
74.15000154565259,14.838749889106875
,
74.15000154565259,14.838749889106875
74.14499661041924,14.834583275973674
,
74.14499661041924,14.834583275973674
74.14244082602502,14.834583282014798
,
74.14244082602502,14.834583282014798
74.13996887209962,14.832111338672384
,
74.13996887209962,14.832111338672384
74.1366118938919,14.83369448659287
,
74.1366118938919,14.83369448659287
74.13163760249874,14.836222650691894
,
74.13163760249874,14.836222650691894
74.12916568481732,14.83625032390988
,
74.12916568481732,14.83625032390988
74.12752536790784,14.834527975877576
,
74.12752536790784,14.834527975877576
74.12705233819746,14.83583352999149
,
74.12705233819746,14.83583352999149
74.1279144359643,14.836667029276574
,
74.1279144359643,14.836667029276574
74.12580869177434,14.837055205395261
,
74.12580869177434,14.837055205395261
74.12455751007853,14.835833526573484
,
74.12455751007853,14.835833526573484
74.12458035992307,14.834166546564026
,
74.12458035992307,14.834166546564026
74.12369539684715,14.833305359669737
,
74.12369539684715,14.833305359669737
74.12369539684715,14.830833427385429
,
74.12369539684715,14.830833427385429
74.12294770910881,14.829972252686577
,
74.12294770910881,14.829972252686577
74.12291715277509,14.822444879425024
,
74.12291715277509,14.822444879425024
74.12372586344624,14.821666723962839
,
74.12372586344624,14.821666723962839
74.12374880299991,14.818333667322515
,
74.12374880299991,14.818333667322515
74.12458035992307,14.817472444345496
,
74.12458035992307,14.817472444345496
74.12455751007853,14.80580516707721
,
74.12455751007853,14.80580516707721
74.12000271872053,14.79872222239809
,
74.12000271872053,14.79872222239809
74.1166916214504,14.798722236449317
,
74.1166916214504,14.798722236449317
74.11416627679837,14.797055234842283
,
74.11416627679837,14.797055234842283
74.11211396676302,14.794972452300854
,
74.11211396676302,14.794972452300854
74.11211396676302,14.79416654398941
,
74.11211396676302,14.79416654398941
74.11080928380319,14.793749787561316
,
74.11080928380319,14.793749787561316
74.11038971146417,14.794972391275312
,
74.11038971146417,14.794972391275312
74.11374662235481,14.799166661765558
,
74.11374662235481,14.799166661765558
74.11372377118903,14.799972551204654
,
74.11372377118903,14.799972551204654
74.11250306682763,14.801221834945544
,
74.11250306682763,14.801221834945544
74.11083222493778,14.801221862673959
,
74.11083222493778,14.801221862673959
74.10747526191253,14.802888911641405
,
74.10747526191253,14.802888911641405
74.10327915296939,14.802916514709755
,
74.10327915296939,14.802916514709755
74.10250091380335,14.803722375506048
,
74.10250091380335,14.803722375506048
74.0975036705101,14.80375006414778
,
74.0975036705101,14.80375006414778
74.09666446546844,14.802888893145456
,
74.09666446546844,14.802888893145456
74.09330751825145,14.802082980712022
,
74.09330751825145,14.802082980712022
74.09208677088631,14.80080511018382
,
74.09208677088631,14.80080511018382
74.09208677088631,14.798333154715053
,
74.09208677088631,14.798333154715053
74.0941695918106,14.795416860011139
,
74.0941695918106,14.795416860011139
74.09919739427103,14.794583300809471
,
74.09919739427103,14.794583300809471
74.10041809550292,14.793333062636554
,
74.10041809550292,14.793333062636554
74.10119625367439,14.790805813313948
,
74.10119625367439,14.790805813313948
74.10244750160054,14.789610839413067
,
74.10244750160054,14.789610839413067
74.10752867268582,14.789555572265138
,
74.10752867268582,14.789555572265138
74.10952762268077,14.78744411213932
,
74.10952762268077,14.78744411213932
74.10871885075765,14.783305189016394
,
74.10871885075765,14.783305189016394
74.10788722347354,14.782500285997955
,
74.10788722347354,14.782500285997955
74.10916898541147,14.780388861715677
,
74.10916898541147,14.780388861715677
74.10997004857288,14.780388795466068
,
74.10997004857288,14.780388795466068
74.11333467365652,14.783721953241969
,
74.11333467365652,14.783721953241969
74.11497493562749,14.783721891350242
,
74.11497493562749,14.783721891350242
74.11538697033426,14.78247262856627
,
74.11538697033426,14.78247262856627
74.11872103082304,14.779166230073256
,
74.11872103082304,14.779166230073256
74.11872103082304,14.776639013433087
,
74.11872103082304,14.776639013433087
74.11624912180085,14.773278240055918
,
74.11624912180085,14.773278240055918
74.11750026938707,14.771222073650888
,
